hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
Resort Hotel,0,203,2016,December,49,2,2,5,2,0,0,BB,GBR,Direct,Direct,0,0,0,F,F,4,No Deposit,250,,0,Transient,66.8,0,0,Check-Out,09-12-2016,Christine Sanders,Sanders_Christine@outlook.com,530-703-7317,************5253
City Hotel,1,82,2015,July,29,16,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,0,Canceled,16-07-2015,Mr. Jason Cooper,Mr._C63@verizon.com,897-631-4121,************3136
City Hotel,0,25,2016,December,53,27,0,3,3,0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,A,K,2,No Deposit,220,,0,Transient-Party,60,0,1,Check-Out,30-12-2016,Jonathan Goodwin Jr.,JonathanJr.@comcast.net,341-353-2913,************7754
City Hotel,0,1,2016,March,11,9,0,1,1,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient-Party,95,0,0,Check-Out,10-03-2016,Brandon Harrell,Brandon_Harrell12@yandex.com,360-134-7604,************5214
City Hotel,0,70,2017,April,16,16,2,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,108,0,0,Check-Out,20-04-2017,Tyler Todd,TTodd@gmail.com,698-685-4845,************4766
City Hotel,0,170,2017,April,17,27,0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,130.5,0,0,Check-Out,30-04-2017,Alexandra King,AKing@zoho.com,235-332-9413,************6521
City Hotel,1,21,2016,March,10,4,0,1,1,0,0,BB,SVN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient-Party,85,0,0,Canceled,26-02-2016,Gary Morgan,Gary.Morgan39@zoho.com,181-668-8047,************3149
City Hotel,0,102,2015,October,42,16,0,2,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6,,0,Transient-Party,109,0,0,Check-Out,18-10-2015,Michael Bowman,MBowman@mail.com,779-867-8171,************1204
Resort Hotel,0,55,2016,November,47,19,2,5,2,0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,314,,0,Transient,67.44,0,0,Check-Out,26-11-2016,Andrew Harris,AndrewHarris35@gmail.com,497-904-5270,************1615
Resort Hotel,0,222,2015,September,38,14,1,1,2,0,0,HB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,68,,0,Transient,80,0,0,Check-Out,16-09-2015,Cory Li,Cory.Li77@mail.com,913-293-2068,************6357
Resort Hotel,0,120,2016,December,53,26,1,3,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient-Party,54.8,1,3,Check-Out,30-12-2016,Tony Bush,TBush@yahoo.com,405-557-4917,************1658
City Hotel,1,88,2017,February,7,17,0,2,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,79.2,0,0,Canceled,25-11-2016,Joseph Li,Joseph.L74@yandex.com,627-884-3414,************2866
Resort Hotel,0,79,2015,December,52,24,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,,0,Transient,57.29,0,2,Check-Out,31-12-2015,Michael Bird,Michael_Bird@yandex.com,799-379-7243,************3262
City Hotel,0,41,2016,August,34,15,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28,,0,Transient,76.5,0,0,Check-Out,18-08-2016,Robin Cervantes,Robin_Cervantes41@gmail.com,665-433-7948,************7224
City Hotel,1,239,2015,October,42,17,0,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,,0,Transient,60,0,0,Canceled,17-08-2015,Susan Schmidt,Schmidt_Susan@yandex.com,631-615-3557,************7871
Resort Hotel,0,23,2017,April,16,20,0,2,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,99,1,0,Check-Out,22-04-2017,Travis Garcia,TravisGarcia14@xfinity.com,293-732-5812,************8608
Resort Hotel,0,34,2016,December,50,9,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,48,0,1,Check-Out,10-12-2016,Amanda Combs,Combs_Amanda@comcast.net,575-779-2404,************5926
City Hotel,1,38,2016,May,19,6,2,3,2,1,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,149.68,0,0,Canceled,01-05-2016,Emily Richard,EmilyRichard@outlook.com,908-561-0381,************2097
City Hotel,0,160,2017,July,28,15,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,78.35,0,1,Check-Out,22-07-2017,Kimberly Santiago,Kimberly.S18@mail.com,374-401-3653,************4128
Resort Hotel,0,32,2016,October,44,27,2,5,2,0,0,BB,FRA,Direct,Direct,0,0,0,F,F,0,No Deposit,250,,0,Transient,91.85,1,0,Check-Out,03-11-2016,Jill Mcdonald,Jill_Mcdonald20@att.com,247-865-4713,************7072
Resort Hotel,0,56,2016,March,14,29,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,58,1,1,Check-Out,02-04-2016,Nicholas Smith,NSmith93@verizon.com,456-789-1863,************1630
City Hotel,1,97,2015,October,41,5,1,3,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29,,0,Transient,140,0,0,Canceled,03-07-2015,Neil Fischer,Neil.Fischer63@yahoo.com,596-857-9819,************4329
Resort Hotel,0,85,2017,April,16,19,1,4,2,0,0,BB,USA,Direct,Direct,0,0,0,E,E,2,No Deposit,,,0,Transient-Party,74.6,0,1,Check-Out,24-04-2017,Adrienne Reed,Adrienne_Reed@gmail.com,321-211-6534,************9168
City Hotel,0,278,2017,July,30,26,0,4,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,165.6,0,2,Check-Out,30-07-2017,Dr. Dave Rios DVM,Dr..D@mail.com,247-822-3245,************6512
City Hotel,1,175,2016,August,33,10,0,4,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,99.45,0,0,Canceled,01-03-2016,Sarah Jones,Sarah.J@yandex.com,377-154-4073,************1205
City Hotel,1,26,2017,May,21,22,1,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3,,0,Transient,128,0,0,Canceled,26-04-2017,Jonathan Medina,Jonathan_M64@gmail.com,210-170-9594,************4843
City Hotel,1,360,2015,October,42,12,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,,0,Contract,62,0,0,Canceled,01-01-2015,Jean Lane,JLane@outlook.com,438-325-9455,************5833
Resort Hotel,1,378,2016,November,45,1,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,248,,0,Transient,46,0,0,Canceled,18-10-2016,Daniel Campbell,DanielCampbell@protonmail.com,177-409-0672,************2050
City Hotel,0,32,2016,January,5,24,2,1,2,0,0,BB,ARG,Corporate,Corporate,0,0,0,A,A,1,No Deposit,38,,15,Transient-Party,64,0,0,Check-Out,27-01-2016,Heather Weber,HeatherWeber14@zoho.com,647-435-1155,************1758
Resort Hotel,0,165,2015,December,53,30,0,4,1,0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,308,,122,Transient-Party,0,0,0,Check-Out,03-01-2016,David Valdez,David.V86@xfinity.com,177-969-5706,************2398
City Hotel,0,4,2015,August,35,25,0,4,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,62,0,0,Check-Out,29-08-2015,Anna Martin,Martin_Anna@xfinity.com,753-014-2396,************9155
City Hotel,1,179,2016,July,27,1,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,,0,Transient,65,0,0,Canceled,10-05-2016,Amber Davidson,AmberDavidson@zoho.com,806-610-6200,************7904
City Hotel,0,349,2016,October,41,4,1,5,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,58,,162,Transient-Party,123.33,0,0,Check-Out,10-10-2016,Mr. Michael Delgado,MDelgado43@xfinity.com,663-816-3325,************7045
